number,name,section,part,account_type
31302,на_1_день,balance_accounts,Кредиты_и_депозиты__полученные_кредитными_организациями_от_кредитных_организаций,П
31303,на_срок_от_2_до_7_дней,balance_accounts,Кредиты_и_депозиты__полученные_кредитными_организациями_от_кредитных_организаций,П
31304,на_срок_от_8_до_30_дней,balance_accounts,Кредиты_и_депозиты__полученные_кредитными_организациями_от_кредитных_организаций,П
31305,на_срок_от_31_до_90_дней,balance_accounts,Кредиты_и_депозиты__полученные_кредитными_организациями_от_кредитных_организаций,П
31306,на_срок_от_91_до_180_дней,balance_accounts,Кредиты_и_депозиты__полученные_кредитными_организациями_от_кредитных_организаций,П
31307,на_срок_от_181_дня_до_1_года,balance_accounts,Кредиты_и_депозиты__полученные_кредитными_организациями_от_кредитных_организаций,П
31308,на_срок_от_1_года_до_3_лет,balance_accounts,Кредиты_и_депозиты__полученные_кредитными_организациями_от_кредитных_организаций,П
31309,на_срок_свыше_3_лет,balance_accounts,Кредиты_и_депозиты__полученные_кредитными_организациями_от_кредитных_организаций,П
31401,"Кредит_полученный_в_порядке_расчетов_по_корреспондентскому_счету_(""овердрафт"")",balance_accounts,Кредиты_и_депозиты__полученные_от_банков-нерезидентов,П
31402,на_1_день,balance_accounts,Кредиты_и_депозиты__полученные_от_банков-нерезидентов,П
31403,на_срок_от_2_до_7_дней,balance_accounts,Кредиты_и_депозиты__полученные_от_банков-нерезидентов,П
31404,на_срок_от_8_до_30_дней,balance_accounts,Кредиты_и_депозиты__полученные_от_банков-нерезидентов,П
31405,на_срок_от_31_до_90_дней,balance_accounts,Кредиты_и_депозиты__полученные_от_банков-нерезидентов,П
31406,на_срок_от_91_до_180_дней,balance_accounts,Кредиты_и_депозиты__полученные_от_банков-нерезидентов,П
31407,на_срок_от_181_дня_до_1_года,balance_accounts,Кредиты_и_депозиты__полученные_от_банков-нерезидентов,П
31408,на_срок_от_1_года_до_3_лет,balance_accounts,Кредиты_и_депозиты__полученные_от_банков-нерезидентов,П
31409,на_срок_свыше_3_лет,balance_accounts,Кредиты_и_депозиты__полученные_от_банков-нерезидентов,П
31501,до_востребования,balance_accounts,Прочие_привлеченные_средства_кредитных_организаций,П
31502,на_1_день,balance_accounts,Прочие_привлеченные_средства_кредитных_организаций,П
31503,на_срок_от_2_до_7_дней,balance_accounts,Прочие_привлеченные_средства_кредитных_организаций,П
31504,на_срок_от_8_до_30_дней,balance_accounts,Прочие_привлеченные_средства_кредитных_организаций,П
31601,до_востребования,balance_accounts,Прочие_привлеченные_средства_банков-нерезидентов,П
32002,на_1_день,balance_accounts,Кредиты_и_депозиты__предоставленные_кредитным_организациям,А
32003,на_срок_от_2_до_7_дней,balance_accounts,Кредиты_и_депозиты__предоставленные_кредитным_организациям,А
32004,на_срок_от_8_до_30_дней,balance_accounts,Кредиты_и_депозиты__предоставленные_кредитным_организациям,А
32005,на_срок_от_31_до_90_дней,balance_accounts,Кредиты_и_депозиты__предоставленные_кредитным_организациям,А
32006,на_срок_от_91_до_180_дней,balance_accounts,Кредиты_и_депозиты__предоставленные_кредитным_организациям,А
32102,на_1_день,balance_accounts,Кредиты_и_депозиты__предоставленные_банкам-нерезидентам,А
32103,на_срок_от_2_до_7_дней,balance_accounts,Кредиты_и_депозиты__предоставленные_банкам-нерезидентам,А
32104,на_срок_от_8_до_30_дней,balance_accounts,Кредиты_и_депозиты__предоставленные_банкам-нерезидентам,А
32106,на_срок_от_91_до_180_дней,balance_accounts,Кредиты_и_депозиты__предоставленные_банкам-нерезидентам,А
32107,на_срок_от_181_дня_до_1_года,balance_accounts,Кредиты_и_депозиты__предоставленные_банкам-нерезидентам,А
32109,на_срок_свыше_3_лет,balance_accounts,Кредиты_и_депозиты__предоставленные_банкам-нерезидентам,А
32115,Резервы_на_возможные_потери,balance_accounts,Кредиты_и_депозиты__предоставленные_банкам-нерезидентам,П
32201,до_востребования,balance_accounts,Прочие_размещенные_средства_в_кредитных_организациях,А
32202,на_1_день,balance_accounts,Прочие_размещенные_средства_в_кредитных_организациях,А
32203,на_срок_от_2_до_7_дней,balance_accounts,Прочие_размещенные_средства_в_кредитных_организациях,А
32204,на_срок_от_8_до_30_дней,balance_accounts,Прочие_размещенные_средства_в_кредитных_организациях,А
32205,на_срок_от_31_до_90_дней,balance_accounts,Прочие_размещенные_средства_в_кредитных_организациях,А
32206,на_срок_от_91_до_180_дней,balance_accounts,Прочие_размещенные_средства_в_кредитных_организациях,А
32211,Резервы_на_возможные_потери,balance_accounts,Прочие_размещенные_средства_в_кредитных_организациях,П
32301,до_востребования,balance_accounts,Прочие_размещенные_средства_в_банках-нерезидентах,А
32308,на_срок_от_1_года_до_3_лет,balance_accounts,Прочие_размещенные_средства_в_банках-нерезидентах,А
32309,на_срок_свыше_3_лет,balance_accounts,Прочие_размещенные_средства_в_банках-нерезидентах,А
32311,Резервы_на_возможные_потери,balance_accounts,Прочие_размещенные_средства_в_банках-нерезидентах,П
